Genero,Peso,Altura
Hombre,75,170
Mujer,70,165
Mujer,50,155
Mujer,45,145
Hombre,85,170
Mujer,50,160
Hombre,95,175
Hombre,75,170
Hombre,75,175
Mujer,55,165
Mujer,45,150
Hombre,80,170
Mujer,55,165
Hombre,80,175
Mujer,65,160
Hombre,75,165
Hombre,100,185
Mujer,75,180
Hombre,80,170
Hombre,90,180
Hombre,80,175
Hombre,90,175
Hombre,80,175
Hombre,85,180
Mujer,75,175
Mujer,70,165
Hombre,90,175
Mujer,60,160
Mujer,50,155
Mujer,60,160
Hombre,80,175
Hombre,80,170
Mujer,65,170
Mujer,50,150
Hombre,65,170
Mujer,60,160
Hombre,85,180
Mujer,50,150
Mujer,65,160
Hombre,75,170
Mujer,70,160
Hombre,95,180
Mujer,55,165
Mujer,70,165
Hombre,95,180
Hombre,75,165
Mujer,60,170
Hombre,65,165
Mujer,65,160
Mujer,55,160
Hombre,70,165
Mujer,60,155
Mujer,80,175
Mujer,40,145
Mujer,55,155
Mujer,60,155
Mujer,35,140
Mujer,55,165
Mujer,65,165
Hombre,95,185
Hombre,85,175
Hombre,85,175
Hombre,85,180
Hombre,90,185
Hombre,85,170
Hombre,70,160
Mujer,60,165
Mujer,55,150
Mujer,60,160
Mujer,65,165
Hombre,90,180
Hombre,85,180
Mujer,55,160
Hombre,75,165
Mujer,70,170
Mujer,75,175
Mujer,50,155
Mujer,50,160
Mujer,65,170
Mujer,60,160
Mujer,65,165
Mujer,65,165
Hombre,60,165
Hombre,105,195
Hombre,105,190
Mujer,70,170
Hombre,95,175
Hombre,75,165
Hombre,90,180
Mujer,50,150
Mujer,70,165
Hombre,95,185
Mujer,65,160
Hombre,75,175
Hombre,90,175
Mujer,65,160
Hombre,80,180
Mujer,50,155
Hombre,85,180
Mujer,50,155
Mujer,60,160
Hombre,75,170
Mujer,65,160
Hombre,85,180
Mujer,60,160
Hombre,80,175
Mujer,60,160
Hombre,65,160
Mujer,60,160
Mujer,65,160
Mujer,60,155
Hombre,80,170
Hombre,80,175
Mujer,60,160
Hombre,85,170
Mujer,65,155
Hombre,90,185
Hombre,90,180
Mujer,60,165
Hombre,90,175
Mujer,75,170
Hombre,70,165
Mujer,65,165
Hombre,80,175
Hombre,80,170
Hombre,75,160
Mujer,65,160
Hombre,85,175
Hombre,80,175
Mujer,60,165
Mujer,75,175
Mujer,65,165
Mujer,60,160
Mujer,60,160
Hombre,90,180
Hombre,70,165
Hombre,85,175
Hombre,75,175
Mujer,65,165
Mujer,70,165
Mujer,65,160
Mujer,55,155
Hombre,75,170
Mujer,60,155
Mujer,55,160
Mujer,60,160
Hombre,75,170
Mujer,65,170
Mujer,65,165
Hombre,85,170
Mujer,50,155
Mujer,55,150
Hombre,90,180
Mujer,75,170
Mujer,70,170
Hombre,85,170
Mujer,60,160
Hombre,80,165
Hombre,95,185
Mujer,70,165
Mujer,60,160
Hombre,80,170
Mujer,60,160
Hombre,90,180
Hombre,95,180
Mujer,55,155
Mujer,70,170
Mujer,60,160
Mujer,55,160
Mujer,60,160
Hombre,85,170
Mujer,60,160
Mujer,45,150
Hombre,95,185
Mujer,70,165
Hombre,85,170
Mujer,65,165
Mujer,55,160
Mujer,55,155
Mujer,50,155
Hombre,80,170
Mujer,55,160
Mujer,50,155
Hombre,85,170
Mujer,55,160
Hombre,100,190
Hombre,70,160
Mujer,60,160
Mujer,60,160
Mujer,55,160
Hombre,80,170
Mujer,55,165
Hombre,90,185
Hombre,75,170
Mujer,65,170
Mujer,55,155
Mujer,60,160
Hombre,85,175
Mujer,75,180
Mujer,55,160
Mujer,65,160
Mujer,55,155
Mujer,70,170
Mujer,65,165
Mujer,65,155
Mujer,70,165
Hombre,75,170
Hombre,85,170
Hombre,90,180
Hombre,80,170
Mujer,60,160
Mujer,70,160
Hombre,90,180
Mujer,65,160
Hombre,80,170
Mujer,50,155
Mujer,50,155
Hombre,70,160
Mujer,65,165
Hombre,95,185
Mujer,55,160
Hombre,90,180
Mujer,40,145
Hombre,80,175
Mujer,60,165
Mujer,70,170
Hombre,100,185
Hombre,90,180
Mujer,60,165
Mujer,70,170
Hombre,80,170
Hombre,80,175
Hombre,75,170
Hombre,75,165
Mujer,55,160
Hombre,80,170
Mujer,65,160
Hombre,85,175
Mujer,75,175
Hombre,65,155
Mujer,65,160
Hombre,90,175
Mujer,70,170
Hombre,100,180
Mujer,65,160
Mujer,50,155
Mujer,80,175
Mujer,50,155
Mujer,65,165
Hombre,85,170
Mujer,50,150
Hombre,80,180
Hombre,110,195
Mujer,60,160
Mujer,50,155
Hombre,85,175
Mujer,60,160
Mujer,65,160
Hombre,85,180
Hombre,65,160
Hombre,60,160
Mujer,55,155
Mujer,50,150
Hombre,80,170
Hombre,85,175
Mujer,75,175
Mujer,60,160
Hombre,95,180
Mujer,70,165
Hombre,90,185
Hombre,85,175
Mujer,55,160
Hombre,95,175
Hombre,80,175
Mujer,70,170
Mujer,75,175
Mujer,40,145
Mujer,60,160
Mujer,80,175
Hombre,95,185
Mujer,55,160
Hombre,85,175
Mujer,50,150
Hombre,95,180
Hombre,90,180
Mujer,50,155
Hombre,80,170
Hombre,95,180
Hombre,100,185
Hombre,80,175
Hombre,85,175
Hombre,85,170
Hombre,80,175
Hombre,85,180
Mujer,85,170
Hombre,90,175
Mujer,45,150
Hombre,85,175
Mujer,65,165
Mujer,60,160
Hombre,85,170
Hombre,90,180
Mujer,50,155
Hombre,90,175
Hombre,90,170
Hombre,90,180
Mujer,45,155
Hombre,70,170
Hombre,75,175
Hombre,90,180
Hombre,85,175
Hombre,90,170
Mujer,65,165
Hombre,80,165
Mujer,55,165
Hombre,80,175
Mujer,70,170
Hombre,85,175
Hombre,85,180
Mujer,50,150
Mujer,65,165
Mujer,55,150
Mujer,55,155
Mujer,80,165
Hombre,90,175
Hombre,80,175
Hombre,100,180
Mujer,55,160
Hombre,85,175
Mujer,50,150
Hombre,90,180
Hombre,95,180
Hombre,80,165
Mujer,60,160
Hombre,85,170
Mujer,55,160
Mujer,55,160
Hombre,75,165
Mujer,60,160
Hombre,105,190
Mujer,65,170
Hombre,85,180
Mujer,55,155
Mujer,55,150
Hombre,95,180
Hombre,90,180
Hombre,70,160
Mujer,70,155
Hombre,85,170
Mujer,65,160
Hombre,75,165
Mujer,45,150
Hombre,90,180
Mujer,50,150
Mujer,70,165
Hombre,90,180
Hombre,75,170
Mujer,60,160
Hombre,85,175
Mujer,65,165
Mujer,55,165
Hombre,75,165
Hombre,95,175
Hombre,80,170
Hombre,95,185
Mujer,60,160
Mujer,70,170
Hombre,90,185
Mujer,50,150
Mujer,55,160
Mujer,65,165
Hombre,80,180
Mujer,65,165
Hombre,80,175
Mujer,70,170
Hombre,85,180
Mujer,70,170
Hombre,85,175
Mujer,75,165
Hombre,85,170
Hombre,85,175
Mujer,60,170
Hombre,80,170
Mujer,45,150
Hombre,85,165
Hombre,100,190
Mujer,60,160
Mujer,70,165
Mujer,75,170
Mujer,60,160
Hombre,75,170
Mujer,60,160
Hombre,85,180
Mujer,60,165
Mujer,60,160
Mujer,65,165
Mujer,65,160
Hombre,85,180
Mujer,50,155
Mujer,65,160
Hombre,80,170
Hombre,85,175
Hombre,85,160
Hombre,75,170
Mujer,70,165
Hombre,95,185
Mujer,55,160
Hombre,95,175
Mujer,70,165
Mujer,70,165
Hombre,105,200
Hombre,100,185
Hombre,80,170
Hombre,95,180
Mujer,75,170
Hombre,90,175
Mujer,50,160
Hombre,70,165
Mujer,70,165
Mujer,45,150
Mujer,65,165
Mujer,80,185
Hombre,95,175
Mujer,80,175
Hombre,75,170
Hombre,90,175
Mujer,55,160
Mujer,65,165
Mujer,65,160
Hombre,75,170
Hombre,90,175
Mujer,55,160
Hombre,80,170
Hombre,70,165
Mujer,60,150
Mujer,70,165
Hombre,95,180
Mujer,40,150
Hombre,80,175
Hombre,85,175
Hombre,80,160
Mujer,65,170
Mujer,60,165
Hombre,80,165
Hombre,80,170
Mujer,45,155
Hombre,100,185
Mujer,65,160
Mujer,50,155
Mujer,55,155
Hombre,70,170
Mujer,60,160
Mujer,60,160
Mujer,65,170
Mujer,65,160
Hombre,85,175
Mujer,45,155
Hombre,90,185
Hombre,100,185
Mujer,45,145
Hombre,90,180
Hombre,95,185
Hombre,75,170
Hombre,90,180
Hombre,100,185
Mujer,70,170
Mujer,60,155
Hombre,75,165
Hombre,90,175
Mujer,70,165
Mujer,50,155
Hombre,85,175
Hombre,75,165
Mujer,55,155
Hombre,100,180
Hombre,95,180
Mujer,75,175
Mujer,75,160
Hombre,105,190
Mujer,60,160
Mujer,55,165
Hombre,65,165
Hombre,80,170
Mujer,55,150
Hombre,80,175
Hombre,65,165
Mujer,60,165
Hombre,85,175
Hombre,80,170
Hombre,75,160
Mujer,65,160
Hombre,75,165
Hombre,80,170
Hombre,90,170
Mujer,60,160
Mujer,60,155
Mujer,50,150
Hombre,80,170
Hombre,85,175
Mujer,70,165
Mujer,45,145
Mujer,70,170
Mujer,55,160
Hombre,85,170
Hombre,85,175
Mujer,50,150
Hombre,80,170
Mujer,50,160
Mujer,45,150
Hombre,90,170
Mujer,60,165
Hombre,75,165
Mujer,60,160
Hombre,85,170
Hombre,90,175
Mujer,70,170
Mujer,60,160
Mujer,70,170
Mujer,45,150
Hombre,95,175
Mujer,55,165
Hombre,85,175
Hombre,70,165
Mujer,50,150
Hombre,90,185
Hombre,70,170
Mujer,70,170
Mujer,70,170
Mujer,55,150
Hombre,75,170
Mujer,75,170
Mujer,85,175
Mujer,65,165
Mujer,60,160
Mujer,65,165
Mujer,40,150
Hombre,80,170
Mujer,50,150
Mujer,45,150
Mujer,55,165
Mujer,65,165
Mujer,50,155
Mujer,60,160
Mujer,70,165
Mujer,70,170
Mujer,55,160
Mujer,60,160
Mujer,60,165
Mujer,65,160
Hombre,75,170
Hombre,70,170
Mujer,60,160
Hombre,75,165
Hombre,90,180
Hombre,70,160
Hombre,85,170
Mujer,70,165
Hombre,85,175
Mujer,60,150
Mujer,55,160
Mujer,50,150
Hombre,80,170
Hombre,105,190
Mujer,55,160
Hombre,90,175
Hombre,90,180
Hombre,70,165
Hombre,75,170
Hombre,80,175
Mujer,55,160
Mujer,60,160
Hombre,95,180
Hombre,90,180
Mujer,55,160
Hombre,90,175
Mujer,60,155
Mujer,65,165
Mujer,65,165
Mujer,80,170
Mujer,75,165
Hombre,75,165
Mujer,55,155
Hombre,90,180
Mujer,60,160
Mujer,60,160
Mujer,65,165
Mujer,60,155
Mujer,60,165
Mujer,60,160
Hombre,75,165
Mujer,70,165
Hombre,70,155
Mujer,55,160
Mujer,65,170
Mujer,50,160
Hombre,75,170
Hombre,90,180
Mujer,65,160
Hombre,95,180
Mujer,60,165
Hombre,65,160
Mujer,60,155
Mujer,80,170
Mujer,45,150
Mujer,65,165
Hombre,80,175
Hombre,75,165
Hombre,85,180
Mujer,50,155
Hombre,85,175
Mujer,65,165
Hombre,85,170
Mujer,70,165
Hombre,95,180
Hombre,80,175
Hombre,85,180
Mujer,60,165
Hombre,80,170
Hombre,75,170
Mujer,75,170
Mujer,55,150
Mujer,65,170
Hombre,75,165
Hombre,75,165
Mujer,60,165
Mujer,60,160
Hombre,85,175
Mujer,55,155
Hombre,90,180
Mujer,55,150
Mujer,70,165
Mujer,60,160
Mujer,65,165
Hombre,90,175
Hombre,75,165
Hombre,65,165
Mujer,65,165
Mujer,55,155
Mujer,65,170
Mujer,65,160
Mujer,55,155
Hombre,80,175
Mujer,60,165
Hombre,90,180
Mujer,65,165
Hombre,90,185
Mujer,60,160
Hombre,90,185
Mujer,65,160
Mujer,80,175
Hombre,100,185
Hombre,80,170
Hombre,85,180
Hombre,75,170
Hombre,70,165
Mujer,60,165
Hombre,80,180
Mujer,55,155
Hombre,95,190
Mujer,45,150
Mujer,45,150
Mujer,75,170
Mujer,60,170
Hombre,65,160
Hombre,75,170
Mujer,75,170
Mujer,65,165
Hombre,90,175
Mujer,75,165
Mujer,55,160
Hombre,80,175
Hombre,105,190
Mujer,75,170
Hombre,75,165
Mujer,65,165
Mujer,65,170
Mujer,65,160
Hombre,85,170
Mujer,65,165
Mujer,60,170
Hombre,80,170
Hombre,85,180
Hombre,80,165
Mujer,40,145
Hombre,90,185
Mujer,60,160
Mujer,70,165
Mujer,45,140
Hombre,75,165
Hombre,75,170
Hombre,95,185
Mujer,70,170
Hombre,85,180
Mujer,70,160
Mujer,60,160
Mujer,55,160
Hombre,80,175
Mujer,65,165
Hombre,80,165
Mujer,65,165
Mujer,60,170
Mujer,70,160
Mujer,60,160
Hombre,85,170
Hombre,90,180
Hombre,95,180
Hombre,100,175
Mujer,35,155
Mujer,55,155
Hombre,85,180
Hombre,80,170
Mujer,60,160
Mujer,75,170
Mujer,80,175
Hombre,75,160
Hombre,85,180
Hombre,90,175
Hombre,75,175
Hombre,90,180
Mujer,55,160
Hombre,95,180
Hombre,80,170
Hombre,75,170
Mujer,70,165
Hombre,90,180
Hombre,80,175
Hombre,85,180
Mujer,70,175
Hombre,80,180
Hombre,100,185
Mujer,60,155
Hombre,85,170
Hombre,95,180
Mujer,75,170
Hombre,95,180
Mujer,70,165
Hombre,85,175
Hombre,90,185
Hombre,80,170
Mujer,70,170
Hombre,60,160
Hombre,80,180
Hombre,95,175
Hombre,90,180
Hombre,80,175
Mujer,60,160
Mujer,55,160
Mujer,50,155
Mujer,70,170
Mujer,75,170
Mujer,60,155
Hombre,90,175
Hombre,100,180
Mujer,45,145
Hombre,80,170
Hombre,65,160
Mujer,55,155
Mujer,65,165
Mujer,60,160
Mujer,50,155
Mujer,70,170
Mujer,60,165
Hombre,90,185
Hombre,100,185
Hombre,80,175
Mujer,65,165
Mujer,50,155
Mujer,75,170
Mujer,65,165
Mujer,65,165
Mujer,60,160
Mujer,50,150
Hombre,90,180
Mujer,55,155
Hombre,75,165
Hombre,90,170
Mujer,75,165
Mujer,50,155
Mujer,60,160
Mujer,50,160
Hombre,90,175
Mujer,55,155
Mujer,60,160
Hombre,100,180
Mujer,55,155
Mujer,70,165
Hombre,70,165
Hombre,100,185
Mujer,65,170
Hombre,85,175
Mujer,55,155
Hombre,60,155
Mujer,65,165
Mujer,60,160
Hombre,80,175
Mujer,65,165
Mujer,70,170
Hombre,90,185
Hombre,70,160
Hombre,65,165
Hombre,105,190
Mujer,65,170
Hombre,75,165
Hombre,75,170
Hombre,80,165
Mujer,65,170
Hombre,85,175
Hombre,85,170
Mujer,60,160
Hombre,75,175
Mujer,65,165
Mujer,55,155
Hombre,85,175
Mujer,70,165
Hombre,80,175
Mujer,50,160
Hombre,85,175
Hombre,75,165
Hombre,80,175
Mujer,55,160
Hombre,95,175
Hombre,65,150
Hombre,90,175
Hombre,95,185
Mujer,70,165
Hombre,80,170
Hombre,70,170
Mujer,55,155
Mujer,65,160
Mujer,55,160
Hombre,85,180
Hombre,95,180
Hombre,80,170
Mujer,50,150
Hombre,75,165
Hombre,90,180
Mujer,60,160
Hombre,85,175
Hombre,85,175
Mujer,65,165
Mujer,70,170
Hombre,80,170
Mujer,50,160
Hombre,75,170
Mujer,55,155
Hombre,90,180
Mujer,40,145
Mujer,65,175
Hombre,75,165
Mujer,60,160
Mujer,60,160
Hombre,75,170
Mujer,55,160
Mujer,65,165
Hombre,85,175
Mujer,65,165
Hombre,95,175
Mujer,65,170
Hombre,100,180
Hombre,90,175
Hombre,80,170
Hombre,95,185
Mujer,65,165
Mujer,65,160
Mujer,75,175
Mujer,60,155
Hombre,85,175
Mujer,65,165
Hombre,85,170
Hombre,80,170
Hombre,95,190
Mujer,60,160
Mujer,65,165
Hombre,80,175
Hombre,100,185
Mujer,60,170
Mujer,55,165
Mujer,50,150
Mujer,45,145
Mujer,70,170
Hombre,90,175
Mujer,70,165
Hombre,85,175
Mujer,60,165
Mujer,55,160
Mujer,45,150
Mujer,55,170
Hombre,85,175
Mujer,45,150
Hombre,85,185
Mujer,55,150
Mujer,50,155
Mujer,60,160
Hombre,90,175
Mujer,50,150
Mujer,65,165
Hombre,95,185
Mujer,55,165
Mujer,80,170
Hombre,95,175
Mujer,55,155
Hombre,85,175
Mujer,75,170
Hombre,95,180
Hombre,75,165
Mujer,50,150
Mujer,50,155
Mujer,60,160
Mujer,65,160
Mujer,55,160
Mujer,65,165
Hombre,90,185
Hombre,80,170
Hombre,95,180
Hombre,95,185
Mujer,50,150
Hombre,80,165
Hombre,95,175
Mujer,50,155
Hombre,75,170
Hombre,90,180
Mujer,75,180
Hombre,75,170
Mujer,60,170
Mujer,75,170
Mujer,70,165
Mujer,50,160
Mujer,60,160
Mujer,75,175
Mujer,80,170
Hombre,85,180
Mujer,70,170
Mujer,65,165
Mujer,50,150
Mujer,70,160
Mujer,65,165
Hombre,95,180
Hombre,90,185
Hombre,80,170
Mujer,65,165
Hombre,90,175
Mujer,60,165
Mujer,65,165
Mujer,60,165
Hombre,90,180
Hombre,85,175
Hombre,85,180
Mujer,60,160
Hombre,70,160
Mujer,65,160
Hombre,75,170
Hombre,70,170
Mujer,50,150
Mujer,55,155
Mujer,70,165
Hombre,95,180
Mujer,70,170
Mujer,60,160
Mujer,75,170
Mujer,65,170
Mujer,65,160
Mujer,70,165
Hombre,75,170
Hombre,85,180
Hombre,85,180
Mujer,65,165
Mujer,60,160
Mujer,60,160
Hombre,80,175
Mujer,55,160
Mujer,55,155
Mujer,65,165
Hombre,75,170
Hombre,90,175
Hombre,85,170
Hombre,65,155
Hombre,70,165
Hombre,70,165
Mujer,45,155
Mujer,55,150
Hombre,80,170
Mujer,60,160
Mujer,55,155
Mujer,60,165
Hombre,90,180
Mujer,65,165
Hombre,70,165
Mujer,45,155
Hombre,80,170
Mujer,55,160
Hombre,90,180
Mujer,50,155
Hombre,90,185
Mujer,65,170
Hombre,90,180
Mujer,55,160
Hombre,75,175
Hombre,70,165
Hombre,85,180
Mujer,55,155
Hombre,85,170
Mujer,60,160
Hombre,85,175
Hombre,90,175
Hombre,80,175
Mujer,55,160
Hombre,80,170
Hombre,80,165
Mujer,60,160
Mujer,75,175
Hombre,90,180
Hombre,85,180
Mujer,55,150
Mujer,55,155
Mujer,55,155
Hombre,85,170
Mujer,55,155
Hombre,75,170
Mujer,60,160
Hombre,95,185
Hombre,75,165
Hombre,95,185
Hombre,85,180
Hombre,85,175
Hombre,75,175
Mujer,70,165
Mujer,65,160
Hombre,85,180
Hombre,85,175
Mujer,70,165
Hombre,100,180
Hombre,95,180
Mujer,60,165
Mujer,55,165
Hombre,95,175
Hombre,90,185
Hombre,90,180
Hombre,85,180
Hombre,85,180
Mujer,60,160
Hombre,85,170
Hombre,75,160
Hombre,75,175
Hombre,90,180
Mujer,55,155
Hombre,85,180
Mujer,50,155
Mujer,65,160
Hombre,105,185
Mujer,60,150
Hombre,85,175
Mujer,65,165
Hombre,80,175
Hombre,80,170
Mujer,70,165
Mujer,60,160
Mujer,55,155
Mujer,65,165
Mujer,60,165
Hombre,95,180
Hombre,80,170
Mujer,80,175
Mujer,65,165
Mujer,60,165
Mujer,65,160
Hombre,85,170
Hombre,95,185
Hombre,85,175
Mujer,60,160
Hombre,80,175
Mujer,70,165
Hombre,65,165
Hombre,85,170
Mujer,80,170
Mujer,65,165
Mujer,70,165
Mujer,55,165
Mujer,65,165
Hombre,80,175
Hombre,90,180
Mujer,75,165
Mujer,70,170
Mujer,55,155
Mujer,60,155
Mujer,55,165
Mujer,55,155
Hombre,90,175
Mujer,70,170
Hombre,90,180
Mujer,60,155
Hombre,75,170
Hombre,65,170
Hombre,85,175
Hombre,90,180
Mujer,60,165
Mujer,40,150
Mujer,75,170
Hombre,105,185
Hombre,90,180
Hombre,105,190
Hombre,80,170
Hombre,70,170
Mujer,50,155
Hombre,90,175
Mujer,70,165
Hombre,75,165
Mujer,60,155
Mujer,50,155
Hombre,80,175
Hombre,90,180
Hombre,75,165
Mujer,45,150
Mujer,65,155
Mujer,45,145
Hombre,75,165
Hombre,90,180
Hombre,85,175
Mujer,60,160
Mujer,70,170
Hombre,85,175
Hombre,80,175
Mujer,70,165
Mujer,65,155
Hombre,95,180
Mujer,50,150
Hombre,80,175
Mujer,65,160
Hombre,90,180
Hombre,105,190
Mujer,50,155
Hombre,95,185
Hombre,95,180
Mujer,65,165
Mujer,55,160
Mujer,65,160
Hombre,110,190
Hombre,85,165
Hombre,90,175
Mujer,65,160
Hombre,95,175
Mujer,55,165
Mujer,60,165
Hombre,80,175
Hombre,80,175
Mujer,55,160
Mujer,55,155
Mujer,55,155
Mujer,70,165
Hombre,80,180
Hombre,85,175
Hombre,80,165
Mujer,80,170
Hombre,80,180
Hombre,90,180
Mujer,55,155
Mujer,70,170
Mujer,70,170
Hombre,80,170
Mujer,80,170
Mujer,65,165
Mujer,70,175
Mujer,75,165
Mujer,45,145
Hombre,65,165
Mujer,45,150
Mujer,60,165
Hombre,75,170
Mujer,45,150
Mujer,45,150
Hombre,85,175
Mujer,60,165
Hombre,90,175
Mujer,55,160
Hombre,80,175
Hombre,80,170
Hombre,100,185
Hombre,90,180
Hombre,85,175
Hombre,95,180
Hombre,95,190
Hombre,75,170
Mujer,35,145
Hombre,110,195
Hombre,75,170
Mujer,60,160
Mujer,45,150
Hombre,85,175
Mujer,45,150
Hombre,105,185
Mujer,60,155
Mujer,80,170
Hombre,80,175
Hombre,100,190
Hombre,85,175
Hombre,100,185
Mujer,65,170
Hombre,85,175
Hombre,80,170
Hombre,90,180
Hombre,80,170
Mujer,60,160
Mujer,65,160
Hombre,80,175
Mujer,60,165
Hombre,75,165
Hombre,90,180
Hombre,85,180
Mujer,55,160
Hombre,80,170
Mujer,60,155
Hombre,95,190
Mujer,65,165
Mujer,50,155
Hombre,75,170
Mujer,55,165
Hombre,80,170
Hombre,85,180
Mujer,55,155
Hombre,90,175
Mujer,65,165
Hombre,90,180
Mujer,65,165
Hombre,80,170
Hombre,80,170
Mujer,50,150
Hombre,80,170
Mujer,65,165
Hombre,75,175
Mujer,50,155
Hombre,90,175
Mujer,70,170
Hombre,80,170
Hombre,75,165
Hombre,70,165
Hombre,75,170
Mujer,50,150
Mujer,55,155
Mujer,55,160
Mujer,60,160
Hombre,110,190
Mujer,60,160
Hombre,85,175
Mujer,65,175
Hombre,95,185
Mujer,65,155
Hombre,100,185
Mujer,45,155
Mujer,65,165
Mujer,55,160
Hombre,60,160
Hombre,85,180
Mujer,75,170
Mujer,60,160
Mujer,75,170
Hombre,65,160
Mujer,55,155
Mujer,50,165
Hombre,85,180
Hombre,85,170
Hombre,75,165
Mujer,65,160
Mujer,60,160
Hombre,85,175
Mujer,60,160
Hombre,80,175
Hombre,65,160
Hombre,80,170
Mujer,70,160
Mujer,70,170
Hombre,80,175
Hombre,75,170
Hombre,80,175
Mujer,55,165
Hombre,75,170
Hombre,90,170
Mujer,75,170
Mujer,60,160
Mujer,60,160
Hombre,95,185
Mujer,55,155
Mujer,70,165
Mujer,50,155
Mujer,55,155
Hombre,80,170
Hombre,105,195
Hombre,80,175
Mujer,45,150
Mujer,70,165
Hombre,90,180
Mujer,75,170
Mujer,70,170
Hombre,75,170
Mujer,40,140
Mujer,60,160
Mujer,50,155
Hombre,90,175
Hombre,90,175
Mujer,45,150
Hombre,85,170
Mujer,55,160
Mujer,70,170
Mujer,65,155
Mujer,75,170
Hombre,95,180
Hombre,80,165
Mujer,65,170
Hombre,85,175
Mujer,65,170
Hombre,80,170
Hombre,95,180
Hombre,80,170
Hombre,75,170
Mujer,55,165
Mujer,65,165
Mujer,65,160
Hombre,115,195
Hombre,90,180
Mujer,65,160
Hombre,90,175
Mujer,60,165
Hombre,60,155
Mujer,55,160
Hombre,95,190
Hombre,105,190
Mujer,75,170
Hombre,80,170
Mujer,70,175
Hombre,100,185
Hombre,100,180
Mujer,65,170
Mujer,55,155
Mujer,70,160
Mujer,70,170
Mujer,70,170
Mujer,65,160
Mujer,65,165
Hombre,85,180
Mujer,55,150
Hombre,90,180
Mujer,65,160
Hombre,85,175
Hombre,95,190
Mujer,65,160
Hombre,90,185
Mujer,55,160
Mujer,50,155
Hombre,90,180
Hombre,80,175
Mujer,65,165
Hombre,95,180
Mujer,75,175
Mujer,65,170
Hombre,95,185
Hombre,90,175
Mujer,80,175
Hombre,85,175
Mujer,75,175
Mujer,65,165
Hombre,85,165
Mujer,70,165
Hombre,75,170
Mujer,65,165
Hombre,90,185
Hombre,70,165
Hombre,100,175
Hombre,85,180
Mujer,75,170
Mujer,60,160
Mujer,65,170
Mujer,70,165
Mujer,50,160
Hombre,95,180
Hombre,85,170
Hombre,90,180
Hombre,80,170
Hombre,80,175
Hombre,100,185
Hombre,90,180
Mujer,70,160
Mujer,60,155
Mujer,70,170
Mujer,45,155
Hombre,80,165
Hombre,85,170
Hombre,85,180
Hombre,75,165
Hombre,80,170
Mujer,75,170
Hombre,85,180
Hombre,85,175
Mujer,65,165
Mujer,55,160
Hombre,85,180
Hombre,85,180
Hombre,85,180
Mujer,50,155
Hombre,100,180
Mujer,65,160
Hombre,90,185
Mujer,50,160
Mujer,60,170
Hombre,85,170
Mujer,55,155
Mujer,60,160
Mujer,65,155
Mujer,65,170
Mujer,75,170
Mujer,75,175
Hombre,75,175
Mujer,45,145
Hombre,80,165
Hombre,95,180
Mujer,60,160
Hombre,85,180
Mujer,50,150
Mujer,55,155
Hombre,85,175
Hombre,75,165
Hombre,80,175
Hombre,85,165
Hombre,105,190
Mujer,65,165
Mujer,75,170
Mujer,50,150
Mujer,60,165
Hombre,105,185
Hombre,70,170
Hombre,85,170
Mujer,65,170
Hombre,85,175
Mujer,50,150
Hombre,85,175
Hombre,90,180
Hombre,90,175
Hombre,90,175
Hombre,85,175
Mujer,65,160
Mujer,55,150
Hombre,80,165
Hombre,80,180
Mujer,65,165
Mujer,55,165
Hombre,85,170
Hombre,90,185
Mujer,65,165
Mujer,50,145
Hombre,100,190
Hombre,75,170
Hombre,80,180
Hombre,80,170
Hombre,85,170
Mujer,65,155
Hombre,80,170
Hombre,70,160
Mujer,75,170
Hombre,85,180
Hombre,100,185
Mujer,45,150
Hombre,90,175
Hombre,80,170
Mujer,50,160
Hombre,75,165
Hombre,90,170
Mujer,75,170
Hombre,80,175
Mujer,70,165
Hombre,105,195
Mujer,70,170
Hombre,70,160
Hombre,80,170
Mujer,50,155
Hombre,95,180
Mujer,70,165
Mujer,45,150
Hombre,90,175
Mujer,55,150
Hombre,80,175
Hombre,90,180
Mujer,65,160
Mujer,65,160
Hombre,85,180
Hombre,85,175
Mujer,55,160
Mujer,55,160
Mujer,60,155
Mujer,60,165
Mujer,65,165
Hombre,90,175
Mujer,60,165
Mujer,60,155
Hombre,90,180
Hombre,90,180
Hombre,85,175
Mujer,75,175
Mujer,60,160
Hombre,100,180
Hombre,65,160
Mujer,75,165
Hombre,80,175
Mujer,55,155
Hombre,85,180
Mujer,55,155
Mujer,70,160
Mujer,55,155
Hombre,90,180
Mujer,60,160
Hombre,80,175
Mujer,85,175
Mujer,65,160
Hombre,90,175
Mujer,55,160
Hombre,70,165
Hombre,85,175
Hombre,90,175
Mujer,50,150
Mujer,50,160
Mujer,55,155
Mujer,70,170
Mujer,60,155
Mujer,65,165
Mujer,70,170
Mujer,60,165
Mujer,45,150
Hombre,100,190
Hombre,70,165
Mujer,60,170
Hombre,75,165
Mujer,60,160
Hombre,95,180
Hombre,90,180
Mujer,60,160
Mujer,70,165
Mujer,40,145
Hombre,80,170
Hombre,90,185
Hombre,70,165
Hombre,90,180
Hombre,95,190
Mujer,50,160
Hombre,85,170
Mujer,65,165
Hombre,95,180
Mujer,60,165
Hombre,70,165
Hombre,75,170
Hombre,90,180
Mujer,60,160
Hombre,75,170
Mujer,70,170
Hombre,90,180
Hombre,80,175
Hombre,80,180
Mujer,55,155
Mujer,80,175
